"","X","Robinson.Foulds.Distance","Quartet.Distances","Robinson.Foulds.Distance.UQ","Robinson.Foulds.Distance.LQ","Quartet.Distances.UQ","Quartet.Distances.LQ","Study"
"1","Paup vs Morphy",0.5,0.477651991614256,0.6,0.368421052631579,0.522873671685882,0.404776221974057,"AH2006"
"2","Paup vs Anagallis",0.3,0.230440251572327,0.4,0.210526315789474,0.344315431009724,0.117515677347307,"AH2006"
"3","Morphy vs Anagallis",0.4,0.445115303983229,0.45,0.368421052631579,0.466089525294383,0.354608710591874,"AH2006"
"4","Paup vs Morphy",0.630434782608696,0.305477175488844,0.652173913043478,0.58695652173913,0.383730167737249,0.25815178800947,"A2019"
"5","Paup vs Anagallis",0.695652173913043,0.529910540645663,0.760869565217391,0.652173913043478,0.565447558320428,0.472876508433566,"A2019"
"6","Morphy vs Anagallis",0.695652173913043,0.520299847954457,0.717391304347826,0.630434782608696,0.567289577662504,0.458538637291048,"A2019"
"7","Paup vs Morphy",0.381578947368421,0.228620472929159,0.394736842105263,0.368421052631579,0.229631011951916,0.228538951714775,"CPRS2019"
"8","Paup vs Morphy",0.555555555555556,0.57559347992561,0.592592592592593,0.481481481481481,0.623605276536537,0.332884626170845,"C2013"
"9","Paup vs Anagallis",0.518518518518518,0.30237391970244,0.592592592592593,0.222222222222222,0.332325475610735,0.0958550675865164,"C2013"
"10","Morphy vs Anagallis",0.518518518518518,0.462914341975714,0.62962962962963,0.333333333333333,0.610989216814278,0.211635537607269,"C2013"
"11","Paup vs Morphy",0.230769230769231,0.0538412783133736,0.256410256410256,0.153846153846154,0.079300253197856,0.039883548713986,"C2020"
"12","Paup vs Anagallis",0.102564102564103,0.0208760049371185,0.128205128205128,0.0769230769230769,0.0363947255927132,0.00524640834544955,"C2020"
"13","Morphy vs Anagallis",0.205128205128205,0.0508923508022818,0.256410256410256,0.128205128205128,0.0565551938443326,0.00949979495626298,"C2020"
"14","Paup vs Morphy",0.434782608695652,0.43146089916892,0.434782608695652,0.217391304347826,0.423435744639281,0.221479787206702,"D2016"
"15","Paup vs Anagallis",0,0,0,0,0,0,"D2016"
"16","Morphy vs Anagallis",0.434782608695652,0.43146089916892,0.434782608695652,0.217391304347826,0.423435744639281,0.221479787206702,"D2016"
"17","Paup vs Morphy",0.429906542056075,0.157125193684,0.457943925233645,0.364485981308411,0.16709134654742,0.135973386787891,"dL2020"
"18","Paup vs Anagallis",0.327102803738318,0.122241278405745,0.355140186915888,0.299065420560748,0.123314145494876,0.11938643067076,"dL2020"
"19","Morphy vs Anagallis",0.35981308411215,0.167608326024768,0.392523364485981,0.327102803738318,0.194481297304322,0.0518881228941084,"dL2020"
"20","Paup vs Morphy",0.4625,0.258256037533157,0.5125,0.4375,0.303002824111292,0.239294581302677,"E2014"
"21","Paup vs Anagallis",0.3875,0.217264552375862,0.425,0.375,0.277833849432883,0.21777728680654,"E2014"
"22","Morphy vs Anagallis",0.525,0.284437968722098,0.55,0.4875,0.300244812911471,0.274732144675509,"E2014"
"23","Paup vs Morphy",0.05,0.00620545073375262,0.1,0.0526315789473684,0.0121445862224593,0.00343613091658792,"FM2012"
"24","Paup vs Anagallis",0.05,0.00620545073375262,0.1,0.0526315789473684,0.0121445862224593,0.00343613091658792,"FM2012"
"25","Morphy vs Anagallis",0.05,0.00335429769392034,0.05,0,0.00328232060066467,0,"FM2012"
"26","Paup vs Morphy",0.333333333333333,0.108682042421055,0.357142857142857,0.261904761904762,0.124648052993252,0.0716779266413285,"L2020"
"27","Paup vs Anagallis",0.357142857142857,0.12397766258483,0.404761904761905,0.30952380952381,0.147182566705875,0.100824377400837,"L2020"
"28","Morphy vs Anagallis",0.30952380952381,0.108807252147347,0.357142857142857,0.214285714285714,0.13275552528942,0.0693015261264418,"L2020"
"29","Paup vs Morphy",0.254901960784314,0.0591921017276288,0.274509803921569,0.235294117647059,0.0594295920206553,0.059086090097213,"L2015"
"30","Paup vs Morphy",0.28,0.11250025478486,0.3,0.24,0.125814181859896,0.103260981539476,"R2014"
"31","Paup vs Morphy",0.463768115942029,0.171960971848964,0.492753623188406,0.434782608695652,0.176524696787376,0.129245442606324,"T2003"
"32","Paup vs Anagallis",0.463768115942029,0.455982776991865,0.492753623188406,0.434782608695652,0.490091966551731,0.358144230102375,"T2003"
"33","Morphy vs Anagallis",0.536231884057971,0.475649590335332,0.550724637681159,0.507246376811594,0.499375318141675,0.352109414876851,"T2003"
